question,option_a,option_b,option_c,option_d,correct_answer,topic
ಅನುರಾಗ means?,Anger,Hatred,Love/Affection,Fear,C,Kannada Word Meaning
ಅರಸಿ means?,Running,Searching,Sleeping,Eating,B,Kannada Word Meaning
ಊಟೆ means?,Mountain,Water spring,River,Ocean,B,Kannada Word Meaning
ಒಲುಮೆ means?,Love/Affection,Hatred,Anger,Fear,A,Kannada Word Meaning
ಗುಟುಕು means?,Large amount,One swallow/sip,Bucket,Handful,B,Kannada Word Meaning
ಜಗದೊಡೆಯ means?,King,Minister,Supreme God,Soldier,C,Kannada Word Meaning
ದಿಕ್ಸೂಚಿ means?,Map,Compass,Clock,Calendar,B,Kannada Word Meaning
ನಭ means?,Earth,Sky,Water,Fire,B,Kannada Word Meaning
ನುಡಿ means?,Walk,Dance,Speech/Words,Sleep,C,Kannada Word Meaning
ಮಾತೆ means?,Father,Mother,Sister,Brother,B,Kannada Word Meaning
ಸಿರಿ means?,Poverty,Wealth,Sorrow,Pain,B,Kannada Word Meaning
ಹರಸು means?,Curse,Bless,Scold,Ignore,B,Kannada Word Meaning
ಕುತೂಹಲ means?,Boredom,Fear,Curiosity,Anger,C,Kannada Word Meaning
ಏಕಾಗ್ರತೆ means?,Distraction,Laziness,Concentration,Confusion,C,Kannada Word Meaning
ಗುಂಗು means?,Noise,Silence,Absorption/Engrossment,Brightness,C,Kannada Word Meaning
ಚಿಂತನೆ means?,Play,Sleep,Food,Meditation/Thought,D,Kannada Word Meaning
ಮಾಲಿ means?,Teacher,Gardener,Doctor,Farmer,B,Kannada Word Meaning
ಉಪಾಯ means?,Problem,Trick/Solution,Question,Confusion,B,Kannada Word Meaning
ರವಿ means?,Moon,Sun,Star,Cloud,B,Kannada Word Meaning
ಕಿರೀಟ means?,Ring,Necklace,Crown,Bracelet,C,Kannada Word Meaning
ಬಾನು means?,Earth,Water,Sky,Fire,C,Kannada Word Meaning
ಮೂಡಣ means?,West,North,South,East,D,Kannada Word Meaning
ನೆತ್ತರು means?,Water,Milk,Blood,Juice,C,Kannada Word Meaning
ಶೃಂಗಾರ means?,Sadness,Decoration/Romance,Anger,Fear,B,Kannada Word Meaning
ಸಾರು means?,Hide,Proclaim/Tell,Sleep,Run,B,Kannada Word Meaning
ಹಂದರ means?,Floor,Roof,Canopy/Trellis,Wall,C,Kannada Word Meaning
ಪುಷ್ಟಿ means?,Weakness,Nourishment/Strength,Sickness,Hunger,B,Kannada Word Meaning
ಗಜ means?,Horse,Lion,Elephant,Tiger,C,Kannada Word Meaning
ವಿಕಾಸ means?,Destruction,Development,Decline,Stagnation,B,Kannada Word Meaning
ಸೊಂಪು means?,Ugly,Dry,Beauty/Lush,Dull,C,Kannada Word Meaning
ಜೇಡರಹುಳು ಬಲೆ ನಿರ್ಮಿಸುವ ಕೆಲಸದಲ್ಲಿ ಹಲವು ಬಾರಿ _____.,ನಗುತ್ತದೆ,ಓಡುತ್ತದೆ,ಸೋಲುತ್ತದೆ,ಹಾರುತ್ತದೆ,C,Kannada Fill Blanks
ರಾಜ ಯುದ್ಧದಲ್ಲಿ ವೈರಿಗಳಿಂದ _____.,ಗೆದ್ದ,ಸೋತುಹೋದ,ಓಡಿದ,ನಗೆದ,B,Kannada Fill Blanks
ಸತತ _____ ಗೆಲುವಿನ ಗುಟ್ಟು.,ನಿದ್ರೆ,ಆಟ,ಪ್ರಯತ್ನವೇ,ಊಟ,C,Kannada Fill Blanks
ಕವಿ _____ ಹಾಡಿಗೆ ತಲೆದೂಗಲು ಆಸೆ ಪಡುತ್ತಾರೆ.,ಹಕ್ಕಿಯ,ನರಿಯ,ಆನೆಯ,ಹುಲಿಯ,A,Kannada Fill Blanks
ಗಾಳಿಪಟಗಳಿಗೆ _____ ಬೇಕು.,ಕಲ್ಲು,ಮಣ್ಣು,ಬಾಲಂಗೋಚಿ,ನೀರು,C,Kannada Fill Blanks
ತಾಯಿಯ ನುಡಿಯಲ್ಲಿ _____ ತುಂಬಿದೆ.,ಕಹಿ,ಜೇನು,ಉಪ್ಪು,ಹುಳಿ,B,Kannada Fill Blanks
ಮಗುವಿಗೆ ಮೊದಲ ಪಾಠಶಾಲೆ _____.,ಶಾಲೆ,ಮನೆ,ಕಾಡು,ಬೆಟ್ಟ,B,Kannada Fill Blanks
ಬಾಲಕ ನರೇಂದ್ರನ ಮೇಲೆ _____ ಹರಿದು ಹೋಯಿತು.,ನಾಯಿ,ಹಾವು,ಬೆಕ್ಕು,ಇಲಿ,B,Kannada Fill Blanks
ಮರಳಿ _____ ಮಾಡು.,ನಿದ್ರೆ,ಯತ್ನವ,ಊಟ,ಆಟ,B,Kannada Fill Blanks
ಶಕ್ತಿಯೇ ಜೀವನ; ದೌರ್ಬಲ್ಯವೇ _____.,ಜನನ,ಆರೋಗ್ಯ,ಮರಣ,ಸುಖ,C,Kannada Fill Blanks
ರವಿ _____ ಒಡನೆ ಜಗಳಾಡುವನು.,ಬೆಳಕು,ನೀರು,ಕತ್ತಲು,ಗಾಳಿ,C,Kannada Fill Blanks
ಏರಿದವನು _____ ಇರಬೇಕು.,ದೊಡ್ಡವ,ಚಿಕ್ಕವ,ಭಾರಿ,ಗಟ್ಟಿ,B,Kannada Fill Blanks
ಎಟುಕದ ದ್ರಾಕ್ಷಿ _____.,ಸಿಹಿ,ಕಹಿ,ಹುಳಿ,ಒಳ್ಳೆಯದು,C,Kannada Fill Blanks
ಪಾಲಿಗೆ ಬಂದದ್ದೇ _____.,ವಿಷ,ಪಂಚಾಮೃತ,ಕಹಿ,ಹುಳಿ,B,Kannada Fill Blanks
ಆಮೆ-ಮೊಲದ ಕತೆಯಲ್ಲಿ _____ ಗೆಲ್ಲುತ್ತದೆ.,ಮೊಲ,ಆಮೆ,ನರಿ,ಸಿಂಹ,B,Kannada Fill Blanks
ನರಿ _____ ತೋಟಕ್ಕೆ ಹೋಯಿತು.,ಮಾವಿನ,ದ್ರಾಕ್ಷಿ,ಬಾಳೆ,ತೆಂಗಿನ,B,Kannada Fill Blanks
ಗುರುಗಳು ರಾಮುವಿನ _____ ತಟ್ಟಿದರು.,ತಲೆ,ಬೆನ್ನು,ಕೈ,ಕಾಲು,B,Kannada Fill Blanks
ಜಿಂಕೆ _____ ಓಡುವ ಪ್ರಾಣಿ.,ನಿಧಾನವಾಗಿ,ವೇಗವಾಗಿ,ಸಾವಕಾಶವಾಗಿ,ಮೆಲ್ಲಗೆ,B,Kannada Fill Blanks
ಆನೆಯ ನಡಿಗೆ _____.,ವೇಗ,ಮಂದ,ತೀವ್ರ,ಬಿರುಸು,B,Kannada Fill Blanks
ವಿದ್ಯಾ_____ ನಿಮಗೆ ಬುದ್ಧಿ-ಸಿದ್ಧಿಗಳನ್ನು ಕರುಣಿಸಲಿ.,ಬ್ರಹ್ಮ,ಗಣಪತಿ,ಶಿವ,ವಿಷ್ಣು,B,Kannada Fill Blanks
ಸ್ವಾಮಿ ವಿವೇಕಾನಂದರು _____ ಪರಮಹಂಸರ ಶಿಷ್ಯರಾದರು.,ವಿಶ್ವನಾಥ,ರಾಮಕೃಷ್ಣ,ಶಂಕರ,ವ್ಯಾಸ,B,Kannada Fill Blanks
ಮಕ್ಕಳು ಗಾಳಿಪಟ ಹಾರಿಸಲು _____ ಸೇರಿದ್ದರು.,ಮನೆಯಲ್ಲಿ,ಬಯಲಿನಲ್ಲಿ,ಶಾಲೆಯಲ್ಲಿ,ನದಿಯಲ್ಲಿ,B,Kannada Fill Blanks
ತಾಯಿ ತನ್ನ ಮಗು _____ ಆಗಲೆಂದು ಹರಸುತ್ತಾಳೆ.,ಬಡವ,ಜಗದೊಡೆಯ,ದುಃಖಿ,ಸೋಮಾರಿ,B,Kannada Fill Blanks
ಅಮ್ಮನನ್ನು ನಡೆದಾಡುವ _____ ಎಂದು ಕರೆದಿದ್ದಾರೆ.,ಮನುಷ್ಯ,ದೇವತೆ,ರಾಕ್ಷಸ,ಪ್ರಾಣಿ,B,Kannada Fill Blanks
ಜೇಡರಹುಳು _____ ಮತ್ತು ಪ್ರಯತ್ನಶೀಲತೆಗೆ ಆದರ್ಶ.,ಆಲಸ್ಯ,ಕೋಪ,ಸಹನೆ,ಭಯ,C,Kannada Fill Blanks
ಪಟ ಹಾರಿಸಲು _____ ಗಾಳಿ ಬೇಕು.,ಬಿರು,ಸುಳಿವ,ಚಳಿ,ಬಿಸಿ,B,Kannada Fill Blanks
ಕವಿ _____ ಮೀನಾಗುವ ಆಸೆ ಪಡುತ್ತಾರೆ.,ನದಿಯಲ್ಲಿ,ಕೆರೆಯಲ್ಲಿ,ಕಡಲಿನಲ್ಲಿ,ಬಾವಿಯಲ್ಲಿ,C,Kannada Fill Blanks
ಕೆ.ಎಸ್. ನರಸಿಂಹಸ್ವಾಮಿ ಬರೆದ ಕವಿತೆ _____.,ಅಮ್ಮ,ಆಸೆ,ಗಾಳಿಪಟ,ಉದಯರಾಗ,B,Kannada Fill Blanks
ಜಂಬಣ್ಣ ಅಮರಚಿಂತ ಅವರ ಮೊದಲ ಕವನ ಸಂಕಲನ _____.,ಆಸೆ,ಅಮ್ಮ,ಮುಂಜಾವಿನ ಕೊರಳು,ಉದಯರಾಗ,C,Kannada Fill Blanks
पुरखे means?,Children,Ancestors,Friends,Neighbors,B,Hindi Word Meaning
अठखेली means?,Crying,Sleeping,Playing,Fighting,C,Hindi Word Meaning
निर्मल means?,Dirty,Cloudy,Pure/Clean,Dark,C,Hindi Word Meaning
अचंभा means?,Sadness,Wonder/Surprise,Anger,Fear,B,Hindi Word Meaning
आपे में न रहना means?,To be sad,To be angry,To lose self-control in joy,To sleep,C,Hindi Word Meaning
लट्ठा means?,Small stick,Log of wood,Leaf,Flower,B,Hindi Word Meaning
आकृति means?,Color,Shape,Size,Weight,B,Hindi Word Meaning
अशुद्ध means?,Correct,Wrong/Impure,Beautiful,Large,B,Hindi Word Meaning
प्रयोग means?,Waste,Ignore,Use,Throw,C,Hindi Word Meaning
सुरक्षित means?,Dangerous,Unsafe,Safe,Risky,C,Hindi Word Meaning
देन means?,Take,Gift/Contribution,Steal,Hide,B,Hindi Word Meaning
रबड़ means?,Iron,Rubber,Plastic,Glass,B,Hindi Word Meaning
दस्ताने means?,Shoes,Socks,Gloves,Hat,C,Hindi Word Meaning
कंद-मूल means?,Fruits only,Roots and tubers,Leaves,Flowers,B,Hindi Word Meaning
तीर means?,Middle,Bank/Shore,Top,Bottom,B,Hindi Word Meaning
मन मारना means?,To be happy,To suppress desire,To play,To dance,B,Hindi Word Meaning
टहनी means?,Root,Trunk,Branch/Twig,Leaf,C,Hindi Word Meaning
विजय means?,Defeat,Loss,Victory,Draw,C,Hindi Word Meaning
जहाज़ means?,Cart,Boat,Ship,Cycle,C,Hindi Word Meaning
नीर means?,Fire,Air,Water,Earth,C,Hindi Word Meaning
गश्त means?,Sleep,Rest,Patrol,Play,C,Hindi Word Meaning
काक्रोच means?,Ant,Spider,Cockroach,Butterfly,C,Hindi Word Meaning
पंछी means?,Fish,Animal,Bird,Insect,C,Hindi Word Meaning
चूहे means?,Cats,Dogs,Mice,Rabbits,C,Hindi Word Meaning
मकड़ी means?,Ant,Bee,Spider,Butterfly,C,Hindi Word Meaning
छिपकली means?,Frog,Snake,Lizard,Turtle,C,Hindi Word Meaning
चींटियाँ means?,Bees,Ants,Flies,Wasps,B,Hindi Word Meaning
जोगुला means?,Dance song,Lullaby,Bhajan,Folk song,B,Hindi Word Meaning
वसुधैव कुटुंबकम् means?,My family only,World is one family,Village family,Small family,B,Hindi Word Meaning
कतार means?,Circle,Queue/Line,Square,Triangle,B,Hindi Word Meaning
नाव बनाने का विचार _____ से आया।,पेड़ से,टहनी के तैरने से,पत्थर से,बादल से,B,Hindi Fill Blanks
हमारे पूर्वज नदियों के _____ बसे थे।,बीच में,किनारे,ऊपर,नीचे,B,Hindi Fill Blanks
रबड़ के पेड़ मुख्य रूप से _____ में पाए जाते हैं।,उत्तर भारत,दक्षिण भारत,पश्चिम भारत,मध्य भारत,B,Hindi Fill Blanks
रबड़ पेड़ के _____ से बनता है।,पत्ते,रस,फूल,जड़,B,Hindi Fill Blanks
एक पेड़ से लगभग _____ लीटर दूध निकलता है।,एक,दो,तीन,चार,C,Hindi Fill Blanks
बशीर के रबड़ की आकृति _____ जैसी थी।,जोकर,गुड़िया,गेंद,जानवर,A,Hindi Fill Blanks
डॉक्टर सुरक्षित रहने के लिए रबड़ के _____ पहनते हैं।,जूते,दस्ताने,टोपी,बेल्ट,B,Hindi Fill Blanks
_____ रबड़ का बनावटी रूप है।,कांच,लोहा,प्लास्टिक,लकड़ी,C,Hindi Fill Blanks
चूहे _____ का खेल खेल रहे हैं।,लुका-छिपी,पकड़म-पकड़ी,कबड्डी,क्रिकेट,B,Hindi Fill Blanks
_____ कतार बाँधे दौड़ी जाती हैं।,मक्खियाँ,चींटियाँ,तितलियाँ,मधुमक्खियाँ,B,Hindi Fill Blanks
यह घर _____ का है।,केवल हमारा,सबका,किसी का नहीं,पड़ोसी का,B,Hindi Fill Blanks
माँ के मुँह से निकला हर शब्द _____ की तरह मीठा है।,नमक,शहद,पानी,तेल,B,Hindi Fill Blanks
पेड़ की टहनी पानी में डूबी नहीं बल्कि _____।,बैठ गई,तैरने लगी,घूमने लगी,उड़ गई,B,Hindi Fill Blanks
बड़े जहाज़ों का अस्तित्व _____ के कारण है।,पत्थर,टहनी के तैरने,लोहे,पहिये,B,Hindi Fill Blanks
रबड़ से _____ और टायर बनते हैं।,कुर्सी,गेंद,किताब,पेंसिल,B,Hindi Fill Blanks
रबड़ के दूध को _____ में चादरों के रूप में बदला जाता है।,खेत,कारखानों,स्कूल,बाज़ार,B,Hindi Fill Blanks
छिपकली घर में _____ लगाती है।,नाच,गश्त,गाना,खेल,B,Hindi Fill Blanks
घर में _____ झपट रहे हैं।,कुत्ते,पंछी,बिल्लियाँ,गाय,B,Hindi Fill Blanks
नाव की खोज मनुष्य की _____ जीत थी।,छोटी,भारी,हलकी,सामान्य,B,Hindi Fill Blanks
रबड़ _____ और चित्र सुधारने के काम आता है।,खेलने,शब्द मिटाने,खाने,पीने,B,Hindi Fill Blanks
पूर्वज _____ और फल खाते थे।,मिठाई,कंद-मूल,चॉकलेट,बिस्कुट,B,Hindi Fill Blanks
साइकिल के टायर _____ से बनते हैं।,लोहे,रबड़,प्लास्टिक,लकड़ी,B,Hindi Fill Blanks
बरसाती _____ से बनी होती है।,कपड़े,रबड़,कागज़,रेशम,B,Hindi Fill Blanks
नदियों का _____ पानी स्वच्छ होता था।,गंदा,निर्मल,मैला,काला,B,Hindi Fill Blanks
लड़के ने पीपल और _____ की शाखाएँ फेंकी।,नीम,ताड़,आम,बरगद,B,Hindi Fill Blanks
मच्छर घर में _____ रहे हैं।,सो,टहल,दौड़,उड़,B,Hindi Fill Blanks
_____ दीवार पर चलती है।,चींटी,छिपकली,मक्खी,तितली,B,Hindi Fill Blanks
आँगन में पंछी _____ जैसे झगड़ रहे हैं।,माता-पिता,दीदी और मैं,दोस्त,पड़ोसी,B,Hindi Fill Blanks
काक्रोच _____ घर में रहते हैं।,बाहर,हमारे,जंगल में,पहाड़ पर,B,Hindi Fill Blanks
Which is the correct form of the verb? She _____ to school every day.,go,goes,going,gone,B,English Grammar
Choose the correct article: I saw _____ elephant at the zoo.,a,an,the,no article,B,English Grammar
What is the plural of 'child'?,childs,childrens,children,childes,C,English Grammar
Which word is an adjective? The _____ cat sat on the mat.,quickly,happy,run,slowly,B,English Grammar
Choose the correct pronoun: _____ is my best friend.,Him,Her,She,Them,C,English Grammar
What is the past tense of 'eat'?,eated,ate,eaten,eating,B,English Grammar
Which sentence is correct?,He don't like apples.,He doesn't likes apples.,He doesn't like apples.,He not like apples.,C,English Grammar
Choose the correct preposition: The book is _____ the table.,on,at,in,by,A,English Grammar
What is the opposite of 'happy'?,glad,joyful,sad,excited,C,English Grammar
Which is a noun?,run,beautiful,quickly,teacher,D,English Grammar
Choose the correct verb: They _____ playing football now.,is,are,was,am,B,English Grammar
What is the comparative form of 'good'?,gooder,more good,better,best,C,English Grammar
Which sentence uses correct punctuation?,whats your name,What's your name?,Whats your name,what's your name,B,English Grammar
Choose the correct word: She sings _____.,beautiful,beautifully,beauty,beautify,B,English Grammar
What is the superlative of 'tall'?,taller,more tall,most tall,tallest,D,English Grammar
Which is a verb?,happiness,happy,happily,happen,D,English Grammar
Choose the correct sentence:,I have two brother.,I have two brothers.,I has two brothers.,I having two brothers.,B,English Grammar
What is the past tense of 'go'?,goed,gone,went,going,C,English Grammar
Which word is spelled correctly?,freind,friend,frend,freand,B,English Grammar
Choose the correct article: _____ apple a day keeps the doctor away.,A,An,The,No article,B,English Grammar
What is the plural of 'mouse'?,mouses,mice,mouse,mices,B,English Grammar
Which sentence is in present continuous tense?,I eat breakfast.,I am eating breakfast.,I ate breakfast.,I will eat breakfast.,B,English Grammar
Choose the correct pronoun: Give the book to _____.,I,me,my,mine,B,English Grammar
What is the opposite of 'difficult'?,hard,easy,tough,complex,B,English Grammar
Which is an adverb?,quick,quickly,quicker,quickest,B,English Grammar
Choose the correct verb: She _____ her homework yesterday.,do,does,did,done,C,English Grammar
What is the contraction of 'cannot'?,can't,cann't,can'ot,cannot't,A,English Grammar
Which sentence has correct subject-verb agreement?,The dogs runs fast.,The dog run fast.,The dogs run fast.,The dog running fast.,C,English Grammar
Choose the correct possessive: This is _____ book.,Sarah,Sarahs,Sarah's,Sarahs',C,English Grammar
What type of sentence is this: What is your name?,Declarative,Interrogative,Exclamatory,Imperative,B,English Grammar
A shopkeeper has 48 apples. He sells 15 and then receives 23 more. How many apples does he have now?,46,56,66,36,B,Math Word Problems
If a train travels 60 km in 1 hour how far will it travel in 3 hours?,120 km,180 km,200 km,160 km,B,Math Word Problems
Maya has 5 bags of marbles with 12 marbles in each bag. How many marbles does she have?,50,55,60,65,C,Math Word Problems
A rectangle has length 8 cm and width 5 cm. What is its area?,13 sq cm,40 sq cm,26 sq cm,35 sq cm,B,Math Word Problems
John had 100 rupees. He spent 35 rupees on a book and 28 rupees on a pen. How much money is left?,37 rupees,47 rupees,27 rupees,57 rupees,A,Math Word Problems
If 6 pencils cost 42 rupees how much does 1 pencil cost?,6 rupees,7 rupees,8 rupees,9 rupees,B,Math Word Problems
A farmer has 156 chickens and 89 ducks. How many birds does he have in total?,235,245,255,225,B,Math Word Problems
What is 3/4 of 24?,16,18,20,12,B,Math Word Problems
If you divide 144 by 12 what do you get?,11,12,13,14,B,Math Word Problems
A bus can carry 45 passengers. How many passengers can 4 buses carry?,160,170,180,190,C,Math Word Problems
Sarah reads 15 pages every day. How many pages will she read in 2 weeks?,180,200,210,220,C,Math Word Problems
A shop sells toys for 75 rupees each. How much will 8 toys cost?,550,575,600,625,C,Math Word Problems
What is the perimeter of a square with side 9 cm?,27 cm,36 cm,45 cm,81 cm,B,Math Word Problems
If 5 apples cost 40 rupees how much do 8 apples cost?,48 rupees,56 rupees,64 rupees,72 rupees,C,Math Word Problems
A movie is 2 hours and 15 minutes long. How many minutes is that?,125 minutes,130 minutes,135 minutes,140 minutes,C,Math Word Problems
There are 28 students in a class. If 4 more students join how many students are there?,30,31,32,33,C,Math Word Problems
What is 1/2 + 1/4?,1/6,2/4,3/4,1/4,C,Math Word Problems
A fruit seller has 240 oranges. He packs them in boxes of 12. How many boxes does he need?,18,20,22,24,B,Math Word Problems
